iso3,country,eligible,recommendation_category,recommended_program_profile,PRIORITY,program_profile,program_profile_score
CHI,Channel Islands,True,B_strategic_with_subsidy,digital_finance_business_informatics,47.06173809381484,digital_finance,0.8099809425376114
ARE,United Arab Emirates,True,B_strategic_with_subsidy,energy_logistics,63.506106745664795,digital_finance,0.7877274012873411
SYC,Seychelles,True,C_watchlist,energy_logistics,43.17561958370638,digital_finance,0.7585217878065057
MDV,Maldives,True,B_strategic_with_subsidy,digital_finance_business_informatics,48.372777246174806,digital_finance,0.7497794032164469
DJI,Djibouti,True,C_watchlist,energy_logistics,44.75150391396487,digital_finance,0.7338958180338613
GEO,Georgia,True,B_strategic_with_subsidy,digital_finance_business_informatics,58.64935681598443,digital_finance,0.728963998635572
MYS,Malaysia,True,B_strategic_with_subsidy,digital_finance_business_informatics,64.94181309762479,digital_finance,0.7269414167827423
BHR,Bahrain,True,B_strategic_with_subsidy,digital_finance_business_informatics,52.65419429932447,digital_finance,0.7178915588189272
ARM,Armenia,True,B_strategic_with_subsidy,energy_logistics,53.626395578505836,digital_finance,0.7134546349290019
GUY,Guyana,True,B_strategic_with_subsidy,energy_logistics,48.56298070361997,digital_finance,0.7090165446342238
CRI,Costa Rica,True,B_strategic_with_subsidy,digital_finance_business_informatics,54.05105591864087,digital_finance,0.6967794541205531
MUS,Mauritius,True,B_strategic_with_subsidy,economic_legal,51.50101467494254,digital_finance,0.6924359416240076
PLW,Palau,True,C_watchlist,diplomatic_analytic,38.38639633987301,digital_finance,0.6796562515289334
CPV,Cabo Verde,True,B_strategic_with_subsidy,digital_finance_business_informatics,46.97976426227924,digital_finance,0.6780541074095858
ATG,Antigua and Barbuda,True,C_watchlist,digital_finance_business_informatics,38.677065581463324,digital_finance,0.6733369478771929
ISR,Israel,True,C_watchlist,economic_legal,51.57071280677754,digital_finance,0.6691282828188906
SRB,Serbia,True,B_strategic_with_subsidy,digital_finance_business_informatics,53.34383515270294,digital_finance,0.6643997916758356
URY,Uruguay,True,C_watchlist,digital_finance_business_informatics,51.95960939558758,digital_finance,0.6638965326792406
LCA,St. Lucia,True,C_watchlist,digital_finance_business_informatics,38.45721814427345,digital_finance,0.6610833999754473
THA,Thailand,True,B_strategic_with_subsidy,digital_finance_business_informatics,67.02326061545864,digital_finance,0.6582287035376625
BLR,Belarus,True,B_strategic_with_subsidy,digital_finance_business_informatics,51.29352516091667,digital_finance,0.6559923059590598
KGZ,Kyrgyz Republic,True,B_strategic_with_subsidy,energy_logistics,53.505499708726475,digital_finance,0.6559562792197907
